coin_name,coin_symbol,price,marketcap,volume
WOLFI,WOLFI,3.997e-07,3597427.0,133140.0
Mafagafo,MAFA,0.06294,62940554.0,319036.0
TigerInu2022,TIGERINU2022,0.0009733,973297.0,2937471.0
ROBOT SHIB SWAP,RBSHIB,0.002583,258355.0,880861.0
Tiger22,Tiger22,7.673e-07,767349.0,284266.0
Son of Doge V2,SODV2,1.39e-13,4049626.0,0.0
ANTIS INU,ANTIS,0.0004027,20135205.0,3267399.0
Tiger Token,TGNB,4.167e-09,4167025.0,71878.0
METAVERSE INDEX,METAI,101.78,1323.0,191164.0
ZURRENCY,ZURR,5986.0,3396714.0,702086.0
BerylBit,BRB,0.005149,1458201.0,530310.0
CrazyMiner,PWR,0.3211,40142717.0,16223882.0
Shiba Viking,SHIBKING,8.151e-07,815138.0,286778.0
rhoBUSD,RHOBUSD,0.9917,159887.0,192681.0
Digichain,DIGICHAIN,0.0004182,4182198.0,4381319.0
Infinity Doge,INFINITYDOGE,7.552e-16,755153.0,286650.0
The Mask,DMASK,1.052e-05,210409.0,782259.0
Digifit,DGI,0.0074,73995568.0,139900.0
NirvanaMeta,MNU,0.06692,66921148.0,1411610.0
Sunflower Farm,SFF,4.2,4199698558.0,4195657.0
Dibs Share,DSHARE,2749.62,192473544.0,4871965.0
ZENFI AI,ZENFI,2.63,110451559.0,240266.0
Miss Ape Yacht Club,APE,2.162e-07,2161515.0,469049.0
mCat,MCAT,789.72,47304787.0,836715.0
mKitty,MKITTY,4.95,631940.0,438275.0
Zelda Inu,ZLDA,0.02041,12245989.0,2532673.0
Shibonk,SHIBO,1.049e-08,10487209.0,375172.0
Hiko Inu,HIKO,0.001214,606909.0,169636.0
GroupDao,GDO,6.242e-07,62415608.0,6792511.0
Dibs Money,DIBS,40.1,4010117751.0,7038840.0
